Student_ID,Age,Gender,Family_Income,Internet_Access,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,GPA,Semester_GPA,CGPA,Semester,Department,Parental_Education,Dropout,GPA_Category,GPA_Category_Encoded,Age_Group,Age_Group_Encoded,Income_Level,Income_Level_Encoded,Attendance_Category,Attendance_Encoded
1,0.5019107820461206,1,-0.7796596353001682,1,-0.517875224898592,0.5307657820904507,2,-0.8205265329771161,1,0,-0.0039450463548314505,-1.270119924634656,-1.3031627021397914,-1.304204731249786,1,0,0,0,Low,1,Mature,0,"(24999.999, 37110.0]",0,High,0
2,-0.15238563569096655,1,-0.7796596353001682,1,0.22662852574707326,-1.6710417697209987,2,1.1596259712266723,0,0,0.7513657432300235,-0.9687061606680798,-1.0239249206480825,-1.033808736464088,3,3,2,1,Low,1,Mature,0,"(24999.999, 37110.0]",0,Low,1
3,0.6421171572754949,1,0.2641265952436432,1,0.30583105241150615,-1.3182659741268983,0,1.57075933015034,1,0,-0.0039450463548314505,-0.5919389557098598,-0.912229808051399,-0.9125967388015335,1,0,3,0,Low,1,Mature,0,"(37110.0, 70904.375]",1,Low,1
4,1.5768263254713322,1,-0.45376431646377635,1,-0.010979054246224014,0.05634316042942104,2,0.7065402287393648,0,0,-0.0039450463548314505,-0.4977471544703046,-0.49337313581383585,-0.49301674689269165,1,2,0,1,Low,1,Mature,0,"(24999.999, 37110.0]",0,High,0
5,-0.24585655251054994,0,-0.7577293311742724,1,0.139505746416198,-0.7343612090056301,1,-0.6023741384461901,0,0,0.8675674031661551,-0.7803225581889698,-1.2938547760900676,-1.3321767307103753,4,1,2,0,Low,1,Mature,0,"(24999.999, 37110.0]",0,High,0
6,-0.24585655251054994,1,-0.7796596353001682,1,0.07614372508465196,0.8957062602912435,2,1.4197307493212377,0,1,0.2865591034854974,0.1992721747024026,0.39087983890990885,0.364791236565385,3,1,2,0,Mid,2,Mature,0,"(24999.999, 37110.0]",0,High,0
7,1.6235617838811247,1,-0.7796596353001682,1,-0.8030043208905487,-0.43024414383830273,1,0.6058545081866297,1,1,1.0418698930703523,-1.5715336886012319,-1.833714486974038,-1.7331087229788245,4,2,2,0,Low,1,Mature,0,"(24999.999, 37110.0]",0,High,0
8,0.7823235325048709,0,-0.7796596353001682,1,-1.4999865555375544,0.5672598299105314,1,0.32057829995388065,0,1,0.5770632533258262,-0.4883279743463491,-1.0797724769464243,-1.0804287355650704,1,0,0,0,Low,1,Mature,0,"(24999.999, 37110.0]",0,High,0
9,-0.4795338445595093,1,1.4486380061815256,1,0.044462714418878946,1.917539599253464,3,1.8392545849576336,0,0,-0.7592558359396864,0.7267462616439108,0.47465117335742135,0.47667923440774296,1,2,0,0,High,0,Young,2,"(37110.0, 70904.375]",1,High,0
10,0.5486462404559115,0,0.5904687698067382,1,-0.8188448262234352,0.05634316042942104,1,-0.8792598699662114,0,0,0.6932649132619578,-0.6767115768254591,-0.5306048400127303,-0.5303127461734777,1,4,3,0,Low,1,Mature,0,"(37110.0, 70904.375]",1,High,0
11,-0.4795338445595093,0,-0.7796596353001682,1,0.9948930343920681,-0.9533254959261054,3,0.76527356572846,1,0,0.9837690631022867,-0.7426458376931477,-0.7446871391563737,-0.7820607413187828,3,1,2,1,Low,1,Young,2,"(24999.999, 37110.0]",0,Low,1
12,-0.4795338445595093,1,0.667877931078709,1,-1.3019802388764732,0.42128363863021384,6,-0.8373074864025718,1,1,1.4485757028468127,-2.174361216534384,-2.0012571558690633,-2.0035047177645224,2,3,2,1,Low,1,Young,2,"(37110.0, 70904.375]",1,High,0
13,0.22149803158736875,0,0.9832893270962949,1,-0.3753106769026134,0.3118014951699753,1,-0.6275455685843739,0,1,-0.5268525160674236,0.23694889519822465,0.3257243565618432,0.3927632360259747,4,2,2,0,Mid,2,Mature,0,"(37110.0, 70904.375]",1,High,0
14,-1.8815975968532654,0,-0.6421655655453357,1,0.14742599908264106,0.2753074473498964,1,2.602787965815874,0,1,-0.41065085613129193,0.3499790566856908,0.3722639868104616,0.3741152363855817,1,1,2,0,Mid,2,Young,2,"(24999.999, 37110.0]",0,High,0
15,-1.788126680033682,1,-0.45376431646377635,1,-0.010979054246224014,1.3579641993455824,1,0.48838783420843895,1,0,-0.0039450463548314505,0.2746256156940467,0.4374194691585268,0.5792432324299042,3,3,2,0,Mid,2,Young,2,"(24999.999, 37110.0]",0,High,0
16,-0.5730047613790927,1,-0.6940008298429076,0,-0.41491194023482947,-1.1236310524198094,2,1.8476450616703617,0,0,0.8675674031661551,0.4724283982971122,0.7911206590480245,0.7936952282944233,1,0,3,0,Mid,2,Young,2,"(24999.999, 37110.0]",0,Low,1
17,-1.0403593454770115,0,-0.570874890377455,1,0.1791070097484141,1.005188403751482,2,0.5303402177720785,0,1,-0.5268525160674236,0.22752971507426892,-0.09313231567571975,-0.0920847546242426,1,3,0,0,Mid,2,Young,2,"(24999.999, 37110.0]",0,High,0
18,0.31496894840695216,0,-0.7796596353001682,1,0.6226411590692357,-0.5518909699052337,0,0.38770211365570373,1,1,-0.7011550059716207,-0.2999443718672391,-0.46544935766466494,-0.48369274707249515,4,1,3,0,Low,1,Mature,0,"(24999.999, 37110.0]",0,High,0
19,-0.946888428657428,0,0.0492921112517173,1,0.7731259597316577,1.3701288819522748,2,-0.6443265220098298,0,0,-0.46875168609935747,0.8868723237511543,1.200669405235864,1.2039512203830687,1,0,2,0,High,0,Young,2,"(24999.999, 37110.0]",0,High,0
20,-1.4609784711651392,1,-0.08063978466659948,1,0.3691930737430522,-2.0359822479217913,1,0.9666450068339304,0,0,0.05415578361323411,-0.5636814153379932,-0.6236841005099667,-0.6235527443754426,1,1,2,1,Low,1,Young,2,"(24999.999, 37110.0]",0,Low,1
21,1.4833554086517489,0,0.1713180981591312,1,1.850280322367939,2.197327299207405,2,0.010130661582947804,0,1,-0.9335583258438838,0.302883156065913,-0.06520853752654905,-0.06411275516365333,1,2,2,0,Mid,2,Mature,0,"(37110.0, 70904.375]",1,High,0
22,-0.24585655251054994,1,-0.08194597832927038,1,-0.4228321929012729,-0.2356092221312139,0,0.06886399857204316,1,0,0.46086159338969457,-0.20575257062768418,-0.26998291062046903,-0.2785647510281725,3,0,3,0,Mid,2,Mature,0,"(24999.999, 37110.0]",0,High,0
23,0.034556197948201924,0,0.6687716425321154,1,1.7710777957035067,-1.147960417633196,2,-0.2751455466498015,1,1,-1.8050707753648703,1.593310833047817,1.582294373274533,1.5116432144495529,3,2,2,0,High,0,Mature,0,"(37110.0, 70904.375]",1,Low,1
24,-1.4609784711651392,0,-0.6627896760085605,1,0.7018436857336685,0.92003562550463,3,-0.11572648910797094,0,1,-0.875457495875818,0.7832613423876439,0.75388895484913,0.6911312302722621,4,1,2,0,High,0,Young,2,"(24999.999, 37110.0]",0,High,0
25,-0.5730047613790927,0,-0.19125376378436226,1,0.24246903107996012,0.5307657820904507,3,0.010130661582947804,1,0,0.17035744354936574,-1.7787556513282532,-1.7778669306756962,-1.7424327227990208,4,1,4,1,Low,1,Young,2,"(24999.999, 37110.0]",0,High,0
26,0.08129165635799279,0,-0.7796596353001682,1,0.3216715577443923,0.4699423690569852,2,0.11081638213568273,0,0,-0.9916591558119496,1.0940942864781755,1.3030565917828243,1.2692192191244442,2,2,3,0,High,0,Mature,0,"(24999.999, 37110.0]",0,High,0
27,-1.1805657207063873,0,-0.7796596353001682,1,0.955291771059852,0.9322003081113241,0,-0.06538362883160362,0,0,-0.46875168609935747,-0.6107773159577707,-0.49337313581383585,-0.5862567450946566,3,4,2,0,Low,1,Young,2,"(24999.999, 37110.0]",0,High,0
28,0.36170440681674465,0,2.064198956473911,1,-0.7475625522254462,0.06850784303611344,4,-1.5840599138353562,0,0,-0.12014670629096309,-1.2230240240148784,-1.2938547760900676,-1.378796729811358,3,2,0,0,Low,1,Mature,0,"(37110.0, 70904.375]",1,High,0
29,-0.6197402197888853,1,-0.7796596353001682,1,0.139505746416198,-0.2477739047379063,1,0.5303402177720785,1,0,2.203886492431668,-1.0911555022795014,-1.4241657407861985,-1.4347407287325369,3,1,0,0,Low,1,Young,2,"(24999.999, 37110.0]",0,High,0
30,-0.2925920109203425,0,-0.45376431646377635,0,-0.010979054246224014,-1.099301687206423,3,-0.14089791924615475,0,0,-0.0039450463548314505,0.44417085792524547,0.6794255464513409,0.6818072304520654,1,2,0,0,Mid,2,Mature,0,"(24999.999, 37110.0]",0,Low,1
31,-0.6197402197888853,0,-0.7796596353001682,1,1.6364335003739716,-0.07746834824420404,7,-2.112659946737215,1,0,0.22845827351743184,1.555634112551995,1.3961358522800602,1.418403216247588,4,2,2,0,High,0,Young,2,"(24999.999, 37110.0]",0,High,0
32,1.9039745343398766,1,-0.45376431646377635,1,-0.010979054246224014,-0.46673819165838165,3,-1.617621820686268,0,1,-0.0039450463548314505,0.23694889519822465,0.09302620531875254,0.1689872403412588,3,4,2,1,Mid,2,Senior,1,"(24999.999, 37110.0]",0,High,0
33,-0.012179260461590607,1,-0.1069698990246499,1,2.04828663902902,0.0198491126093421,2,-0.4932979411807272,0,0,-1.107860815748081,1.235381988337508,1.1355139228877988,1.1480072214618897,4,0,4,0,High,0,Mature,0,"(24999.999, 37110.0]",0,High,0
34,-1.087094803886804,1,-0.45376431646377635,1,-0.010979054246224014,-1.683206452327691,1,1.268702168492135,1,1,-0.0039450463548314505,-0.6296156762056818,-0.5678365442116249,-0.6049047447350496,3,0,2,0,Low,1,Young,2,"(24999.999, 37110.0]",0,Low,1
35,0.8290589909146634,0,-0.7796596353001682,1,-1.444544786872452,1.7229046775463752,2,0.5974640314739016,1,1,-0.17824753625902864,-1.4585035271137659,-2.010565081918787,-2.124716715427077,3,4,2,0,Low,1,Mature,0,"(24999.999, 37110.0]",0,High,0
36,-1.2740366375259706,0,-0.45376431646377635,1,-0.010979054246224014,-2.5225695521895153,1,-0.7030598589989251,0,1,-0.0039450463548314505,-1.4114076264939883,-1.2473151458414495,-1.2389367325084106,3,0,2,1,Low,1,Young,2,"(24999.999, 37110.0]",0,Low,1
37,0.22149803158736875,1,-0.7085752012369197,0,-0.8822068475549814,-0.10179771345758884,1,-0.20802173294797813,0,1,1.2161723829745494,-0.657873216577548,-0.8284584736038865,-0.7913847411389793,4,1,2,0,Low,1,Mature,0,"(24999.999, 37110.0]",0,High,0
38,-1.8815975968532654,0,-0.7796596353001682,1,1.6997955217055176,-0.3937500960182238,0,1.1008926342375767,0,0,-0.46875168609935747,1.27305870883333,0.9772791800424973,1.0454432234397284,2,4,0,0,High,0,Young,2,"(24999.999, 37110.0]",0,High,0
39,-1.3675075543455542,1,2.3761300338508278,1,-1.3970232708737924,-1.3304306567335924,1,-0.6359360452971017,0,0,-0.2944491961951603,-0.1398183097599954,-0.36306217111770517,-0.2692407512079762,2,1,2,0,Mid,2,Young,2,"(37110.0, 70904.375]",1,Low,1
40,0.1747625731775762,0,-0.45376431646377635,1,-0.010979054246224014,0.3969542734168273,3,-1.105802741209865,1,0,-0.0039450463548314505,0.7455846218918218,1.1820535531364167,1.1666552211022827,2,1,3,0,High,0,Mature,0,"(24999.999, 37110.0]",0,High,0
41,0.73558807409508,1,-0.7796596353001682,0,1.5017892050444364,-0.8803374002859475,2,0.8743497629939232,0,0,0.05415578361323411,-0.017368968148573957,0.055794501119857995,0.0477752426787046,2,3,2,0,Mid,2,Mature,0,"(24999.999, 37110.0]",0,Low,1
42,0.1747625731775762,1,0.3351422822720142,1,2.840311905673345,0.3969542734168273,1,1.1092831109503045,1,1,-0.6430541760035546,-0.6484540364535926,-0.5678365442116249,-0.5676087454542637,1,1,0,0,Low,1,Mature,0,"(37110.0, 70904.375]",1,High,0
43,-0.15238563569096655,1,0.9233419126831879,1,-0.12186259157642958,1.6864106297262946,6,-0.6275455685843739,0,1,0.6932649132619578,0.02972693247120339,0.381571912860185,0.38343923620577797,1,1,2,0,Mid,2,Mature,0,"(37110.0, 70904.375]",1,High,0
44,-0.33932746933013336,1,0.33287363012105947,1,0.10782473575042498,-1.1722897828465826,2,0.47999735749571093,1,1,1.680979022719076,0.010888572223292366,0.4560353212579741,0.48600323422793923,3,1,0,1,Mid,2,Mature,0,"(37110.0, 70904.375]",1,Low,1
45,-1.5544493879847225,0,-0.7796596353001682,1,-1.2148574595455977,0.8835415776845511,1,-0.05699315211887558,0,1,1.0999707230384184,-1.5809528687251875,-1.7220193743773546,-1.6771647240576455,4,3,3,0,Low,1,Young,2,"(24999.999, 37110.0]",0,High,0
46,-0.7599465950182611,0,-0.7327741575137703,1,-0.3990714349019433,-1.4642421654072157,2,-0.6107646151589181,0,0,1.3904748728787473,-0.6861307569494146,-0.8098426215044392,-0.8100327407793723,1,1,3,0,Low,1,Young,2,"(24999.999, 37110.0]",0,Low,1
47,-0.4795338445595093,1,-0.7796596353001682,1,2.238372703023658,-0.7465258916123242,1,1.1596259712266723,1,0,-0.17824753625902864,0.9904833051146648,1.200669405235864,1.2692192191244442,4,1,2,0,High,0,Young,2,"(24999.999, 37110.0]",0,High,0
48,1.0627362829636227,1,-0.7796596353001682,1,0.8840094970618628,0.5794245125172237,1,-0.6862789055734693,1,0,-1.107860815748081,1.593310833047817,1.5357547430259149,1.5862352130111248,4,2,2,0,High,0,Mature,0,"(24999.999, 37110.0]",0,High,0
49,0.36170440681674465,1,-0.7796596353001682,1,1.240420867051809,-0.2356092221312139,2,0.7484926123030045,1,0,-2.095574925205199,1.593310833047817,1.3309803699319949,1.3717832171466056,2,1,2,0,High,0,Mature,0,"(24999.999, 37110.0]",0,High,0
50,-1.834862138443473,0,-0.5903303012477638,1,0.6543221697350087,1.4431169775924326,3,0.05208304514658738,0,0,-2.153675755173265,0.4630092181731565,1.005202958191668,1.0081472241589424,1,3,0,0,Mid,2,Young,2,"(24999.999, 37110.0]",0,High,0
